no.	maxl2sqr
3800	0.008450049202866051	0:03:30.271430
3820	0.003420902679983553	0:03:29.714043
3840	0.006017862599936792	0:03:28.517536
3860	0.006064587882232333	0:03:29.272967
3880	0.0042811681527623584	0:03:29.563398
3900	0.005968222042814733	0:03:29.889211
3920	0.005911731573786872	0:03:30.037317
3940	0.005694926283905142	0:03:29.098619
3960	0.003489731378210379	0:03:25.248917
3980	0.007854131825818888	0:03:22.034657
